Date,Headline,News,Analysis,Feature,Sports,Video/Audio,Photo,Illustration,Interactive,Text,Link,,,,,,,,,,,,,,,,,Source,image_path,Id,name,sales,publisher
11-Oct,Where the Heat and the Thunder Hit Their Shots,,,,x,,,,x,,http://www.nytimes.com/interactive/2012/06/11/sports/basketball/nba-shot-analysis.html?ref=sports,,,,,,,,,,,,,,,,,New York Times,photo/nyt.01.png,NYT1,NYT1,30,NYT
13-Aug,"How Y'all, Youse, and You Guys Talk",,,x,,,,,x,,http://www.nytimes.com/interactive/2013/12/20/sunday-review/dialect-quiz-map.html,,,,,,,,,,,,,,,,,New York Times,photo/nyt.02.png,NYT2,NYT2,30,NYT
6-Sep,I Ignored Trump News for a Week,,x,,,,,,,x,https://www.nytimes.com/2017/02/22/technology/trump-news-media-ignore.html,,,,,,,,,,,,,,,,,New York Times,photo/nyt.04.png,NYT3,NYT3,30,NYT
5-Sep,What It's Truly Like to Be a Fashion Model,,,x,,x,,,,,https://www.nytimes.com/2017/09/05/fashion/models-racism-sexual-harassment-body-issues-new-york-fashion-week.html?,,,,,,,,,,,,,,,,,New York Times,photo/nyt.06.png,NYT4,NYT4,30,NYT
11-Sep,Still Lives That Won't Hold Still,,,x,,,x,,,,https://www.nytimes.com/2017/09/07/magazine/still-lives-that-wont-hold-still.html?rref=collection%2Fsectioncollection%2Fmagazine,,,,,,,,,,,,,,,,,New York Times,photo/nyt.07.png,NYT5,NYT5,30,NYT
11-Oct,"As Cancer Tears Through Africa, Drug Makers Draw Up a Plan",,,x,,,,,,x,https://www.nytimes.com/2017/10/07/health/africa-cancer-drugs.html,,,,,,,,,,,,,,,,,New York Times,photo/nyt.06.png,NYT6,NYT6,30,NYT
11-Oct,A Rogue State Along Two Rivers,,x,,,,,,x,,https://www.nytimes.com/interactive/2014/07/03/world/middleeast/syria-iraq-isis-rogue-state-along-two-rivers.html,,,,,,,,,,,,,,,,,New York Times,photo/nyt.13.png,NYT7,NYT7,30,NYT
1-Sep,Greenland Is Melting Away,,x,,,,x,,,,https://www.nytimes.com/interactive/2015/10/27/world/greenland-is-melting-away.html,,,,,,,,,,,,,,,,,New York Times,photo/nyt.15.png,NYT8,NYT8,30,NYT
11-Sep,A Weekend in Chicago,x,,,,,x,,,,https://www.nytimes.com/interactive/2016/06/04/us/chicago-shootings.html,,,,,,,,,,,,,,,,,New York Times,photo/nyt.16.png,NYT9,NYT9,30,NYT
4-Oct,How to Prevent Gun Deaths? Where Experts and the Public Agree,,x,,,,,,,x,https://www.nytimes.com/interactive/2017/01/10/upshot/How-to-Prevent-Gun-Deaths-The-Views-of-Experts-and-the-Public.html?action=click&contentCollection=upshot&region=rank&module=package&version=highlights&contentPlacement=4&pgtype=sectionfront,,,,,,,,,,,,,,,,,New York Times,photo/nyt.20.png,NYT10,NYT10,30,NYT
5-Sep,"Good Schools, Affordable Homes",,x,,,,,,x,,https://www.nytimes.com/interactive/2017/03/30/upshot/good-schools-affordable-homes-suburban-sweet-spots.html?mcubz=0,,,,,,,,,,,,,,,,,New York Times,photo/nyt.28.png,NYT11,NYT11,30,NYT
6-Sep,"Changing climate, changing cities",,x,,,,,,x,,https://www.nytimes.com/interactive/2017/04/07/world/asia/climate-change-china.html?rref=collection%2Fseriescollection%2Fchanging-climate-changing-cities&action=click&contentCollection=climate&region=rank&module=package&version=highlights&contentPlacement=2&pgtype=collection,,,,,,,,,,,,,,,,,New York Times,photo/nyt299.png,NYT12,NYT12,30,NYT
27-Sep,Why N.F.L. Players Started Taking a Knee During the Anthem,x,,,,,,,,x,https://www.nytimes.com/interactive/2017/05/17/us/nfl-kneeling-national-anthem.html,,,,,,,,,,,,,,,,,New York Times,photo/nyt.30.png,NYT13,NYT13,30,NYT
6-Sep,"New York stories, comics issue",,,x,,,,x,,,https://www.nytimes.com/interactive/2017/06/02/magazine/new-york-stories-introduction.html,,,,,,,,,,,,,,,,,New York Times,photo/nyt.36.png,NYT14,NYT14,30,NYT
13-Sep,A Broader Sweep,,x,,,x,,,,,https://www.nytimes.com/interactive/2017/07/21/us/immigration-enforcement-california-trump.html,,,,,,,,,,,,,,,,,New York Times,photo/nyt.38.png,NYT15,NYT15,30,NYT
6-Sep,NFL Brains: All But One of 111 Had CTE,x,,,,,x,,,,https://www.nytimes.com/interactive/2017/07/25/sports/football/nfl-cte.html?,,,,,,,,,,,,,,,,,New York Times,photo/nyt.48.png,NYT16,NYT16,30,NYT
13-Sep,The Worst (and Best) Places to Be Gay in America,,x,,,,,,,x,https://www.nytimes.com/interactive/2017/08/25/opinion/sunday/worst-and-best-places-to-be-gay.html,,,,,,,,,,,,,,,,,New York Times,photo/nyt.53.png,NYT17,NYT17,30,NYT
13-Sep,"Dear Amazon, We Picked Your New HQfor You",,x,,,,,,x,,https://www.nytimes.com/interactive/2017/09/09/upshot/where-should-amazon-new-headquarters-be.html?,,,,,,,,,,,,,,,,,New York Times,photo/nyt.54 2.png,NYT18,NYT18,30,NYT
